"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0107120","Tue Mar  8 05:13:59 2011","Fri Oct 10 10:58:39 2014","The quintessential Halloween film for me growing up. I watch it every year.","Hocus Pocus","Feature Film","Kenny Ortega","6.7","96","1993","comedy, family, fantasy","59899","1993-07-16","http://www.imdb.com/title/tt0107120/"
"2","tt0077651","Tue Mar  8 05:13:47 2011","Thu Oct  1 23:27:04 2015","No list is complete without this slasher classic TBH.","Halloween","Feature Film","John Carpenter","7.9","91","1978","horror, thriller","155869","1978-10-25","http://www.imdb.com/title/tt0077651/"
"3","tt0107688","Thu Jun  9 02:21:45 2011","Thu Oct  1 23:11:48 2015","This is for both Halloween & X-Mas.","The Nightmare Before Christmas","Feature Film","Henry Selick","8.0","76","1993","animation, family, fantasy, musical","219445","1993-10-09","http://www.imdb.com/title/tt0107688/"
"4","tt0862856","Tue Mar  8 05:12:54 2011","Fri Oct 10 10:59:02 2014","Captures the Halloween atmosphere Perfectly.","Trick 'r Treat","Feature Film","Michael Dougherty","6.8","82","2007","fantasy, horror, thriller","62249","2007-12-09","http://www.imdb.com/title/tt0862856/"
"5","tt0094721","Thu Jun  9 02:23:45 2011","Thu Oct  1 23:12:02 2015","He's the ghost with the most.","Beetlejuice","Feature Film","Tim Burton","7.5","92","1988","comedy, fantasy","186600","1988-03-29","http://www.imdb.com/title/tt0094721/"
"6","tt0101272","Tue Mar  8 05:16:41 2011","Thu Oct  1 23:21:47 2015","+ The Addams Family Values

Even though I love the classic tv show and it's cast, its hard to decide who did it better when theyre both so damn goooood.","The Addams Family","Feature Film","Barry Sonnenfeld","6.8","99","1991","comedy, fantasy","95527","1991-11-22","http://www.imdb.com/title/tt0101272/"
"7","tt0173886","Tue Mar  8 05:14:47 2011","Thu Oct  1 23:22:29 2015","Another Disney made for TV Halloween treat that floods me with nostalgia with every viewing.

A bunch of sequels followed but none worth seeing more than once IMO. This is the only entry to the franchise Ive seen multiple times.","Halloweentown","TV Movie","Duwayne Dunham","6.8","84","1998","adventure, comedy, family, fantasy","7307","1998-10-17","http://www.imdb.com/title/tt0173886/"
"8","tt0112642","Tue Mar  8 05:14:08 2011","Thu Oct  1 23:23:59 2015","I was so in love with Christina Ricci as a kid thanks to this as well as her Addams Family appearances, so naturally this would crack my top 10.

Its fun little movie with a great soundtrack, awesome cameos, and lots of charm the whole family can enjoy.","Casper","Feature Film","Brad Silberling","6.0","100","1995","comedy, family, fantasy","84562","1995-05-26","http://www.imdb.com/title/tt0112642/"
"9","tt0279513","Tue Mar  8 05:13:31 2011","Thu Oct  1 23:12:34 2015","Extremely underrated made for tv gem.","When Good Ghouls Go Bad","TV Movie","Patrick Read Johnson","6.3","93","2001","comedy, fantasy, family","861","2001-10-21","http://www.imdb.com/title/tt0279513/"
"10","tt0246578","Fri Oct 10 11:22:08 2014","Thu Oct  1 23:13:41 2015","Time Traveling, alternate universes, beautiful visuals Frank the Bunny Rabbit and disturbed teenagers.

Theres a reason this is a cult classic.","Donnie Darko","Feature Film","Richard Kelly","8.1","113","2001","drama, sci_fi, thriller","573225","2001-01-19","http://www.imdb.com/title/tt0246578/"
"11","tt0060550","Thu Jun  9 02:20:21 2011","Wed Oct 30 06:10:48 2013","Classic.","It's the Great Pumpkin, Charlie Brown","TV Special","Bill Melendez","8.2","25","1966","animation, comedy, family","10467","1966-10-27","http://www.imdb.com/title/tt0060550/"
"12","tt0109506","Thu Jun  9 02:37:29 2011","Mon Aug 26 09:58:01 2013","Devils Night.","The Crow","Feature Film","Alex Proyas","7.6","102","1994","action, drama, fantasy","135365","1994-05-11","http://www.imdb.com/title/tt0109506/"
"13","tt0191173","Fri Oct 14 13:35:35 2011","Thu Oct  1 23:15:03 2015","This is entertaining as well as informative. It takes you on a journey through the history of Halloween and its origins.","The Halloween Tree","TV Movie","Mario Piluso","8.4","90","1993","animation, drama, family, fantasy","1286","1993-10","http://www.imdb.com/title/tt0191173/"
"14","tt0093560","Thu Jun  9 02:10:23 2011","Thu Oct 31 23:44:03 2013","Some of the most famous Universal Monsters come together for this campy late 80s/Goonies styled halloween classic.

Just plain fun.","The Monster Squad","Feature Film","Fred Dekker","7.2","82","1987","action, comedy, fantasy, horror","19309","1987-08-14","http://www.imdb.com/title/tt0093560/"
"15","tt1844624","Mon Aug 26 08:55:25 2013","Thu Oct 22 10:24:40 2015","Murder house is my favorite season to get to the Halloween mood so far. Followed by Asylum, then Coven. then Freakshow. Hotel is on-going.","American Horror Story","TV Series","","8.2","60","2011","drama, horror, thriller","190102","2011-10-05","http://www.imdb.com/title/tt1844624/"
"16","tt0162661","Tue Mar  8 05:16:19 2011","Thu Oct  1 23:15:30 2015","Tim Burton takes on the classic tale with style and grace.","Sleepy Hollow","Feature Film","Tim Burton","7.4","105","1999","drama, horror, mystery","263994","1999-11-17","http://www.imdb.com/title/tt0162661/"
